"Job Title","Company Name","Employment Type","Salary","Location","Experience","Posted Time","id"
"Software Engineer","Wayfaster","Full-time","$130k – $190k • 0.0% – 1.0%","New York City","1 year of exp","3 weeks ago","85"
"Sr. Software Engineer","Safara","Full-time","$150k – $225k • 0.5% – 1.0%","Remote • New York City+1","1 year of exp","1 month ago","89"
"Software Engineer","Albeado","Full-time","$75k – $110k • 0.75% – 1.0%","Silicon Valley","1-4 year of exp","1 month ago","99"
"Junior Software Engineer","Dexterity Capital","Full-time","$200k – $250k • No equity","Remote • San Francisco+1","1 year of exp","2 weeks ago","142"
"Software Engineer, Merchant Decisio",,"Full-time","$165k – $185k • 0.1% – 1.0%","San Francisco • San Francisco Bay Area","1 year of exp","1 month ago","237"
"Software Engineer","Ivo","Full-time","$120k – $190k","San Francisco","1 year of exp","3 weeks ago","292"
"Software Engineer","GlobalTech","Full-time","$85k – $120k • No equity","Remote • Atlanta+14","1 year of exp","2 months ago","319"
"Software Engineer - Tech AI","SSEC at Georgia Tech","Full-time","$120k – $160k • No equity","Atlanta","1 year of exp","2 weeks ago","330"
"Software Engineer / Developer","COREXTA","Full-time","$80k – $112k • No equity","Remote • Alabama+2","1 year of exp","7 days ago","344"
"Software Engineer","Asheville Cottages","Full-time","$95k – $130k • No equity","Remote • Austin+40","1 year of exp","1 month ago","378"
"Software Engineer / Developer","COREXTA","Full-time","$80k – $112k • No equity","Remote • Alabama+2","1 year of exp","1 week ago","423"
"Frontend Engineer","Hive","Full-time","$120k – $180k • 0.0% – 0.05%","Seattle • San Francisco","1-4 year of exp","8 months ago","436"
"Backend Software Engineer","SigScalr","Full-time","$40k – $100k • 0.0% – 1.0%","Remote • Boston+3","1 year of exp","1 month ago","560"
"Unity3d Software Engineer","Mightier","Full-time","$60k – $100k • 0.0% – 0.5%","Boston","1 year of exp","1 year ago","671"
"Front-End Software Engineer (Remote","Bask Health","Full-time","$40k – $80k • 0.0% – 1.0%","Remote • Argentina+15","1 year of exp","1 month ago","688"
"Front-End Software Engineer",,"Full-time","$20k – $60k • 0.0% – 1.0%","Remote • New York","1 year of exp","1 month ago","689"
"Back-End Software Engineer","Bask Health","Full-time","$40k – $80k • 0.0% – 1.0%","Remote • Argentina+15","1 year of exp","2 months ago","690"
"Junior Software Engineer","Kero Sports","Full-time","$60k – $80k • 0.0% – 0.5%","Remote • Canada+1","1 year of exp","2 months ago","755"
"Senior Software Engineer","Cascading AI","Full-time","$140k – $220k • 0.1% – 0.5%","Remote • Chicago+3","1 year of exp","3 months ago","757"
"Backend Software Engineer","Halfgram","Full-time","$105k – $125k • No equity","Remote • Los Angeles","1 year of exp","2 months ago","864"
"Frontend Software Engineer","Halfgram","Full-time","$105k – $125k • No equity","Remote • Los Angeles","1 year of exp","2 months ago","865"
"Software Engineer (Back End)","Silk Security","Full-time","$120k – $200k • 0.1% – 1.0%","San Francisco","1 year of exp","2 years ago","882"
